Company Name,Last Price,% Chg,52 wkHigh,52 wkLow,Market Cap(Rs. cr)
Reliance  Add to Watchlist  Add to Portfolio,2613.85,-1.78,2856.15,2132.3,1768473.27
TCS  Add to Watchlist  Add to Portfolio,3385.75,0.13,4043,2953,1238863.32
HDFC Bank  Add to Watchlist  Add to Portfolio,1493.05,-1.23,1725,1271.6,830443.56
Infosys  Add to Watchlist  Add to Portfolio,1597.1,0.89,1953.9,1367.15,672014.65
HUL  Add to Watchlist  Add to Portfolio,2634.55,-1.77,2859.3,1901.55,619011.57
ICICI Bank  Add to Watchlist  Add to Portfolio,870.4,-1.66,887.65,642.15,605936.43
SBI  Add to Watchlist  Add to Portfolio,520.35,-2.25,549,401.25,464392.17
HDFC  Add to Watchlist  Add to Portfolio,2468.05,-1.2,3021.1,2026,447949.12
Bajaj Finance  Add to Watchlist  Add to Portfolio,7301.7,-2.49,8050,5220,442066.26
LIC India  Add to Watchlist  Add to Portfolio,685.95,-1.48,949,650,433863.22
Bharti Airtel  Add to Watchlist  Add to Portfolio,732.3,-0.12,781.8,573.53,414577.26
Adani Trans  Add to Watchlist  Add to Portfolio,3635.25,0.99,3694,1075,405509.48
ITC  Add to Watchlist  Add to Portfolio,312,-1.16,316.65,204.35,386399.29
Adani Green Ene  Add to Watchlist  Add to Portfolio,2411.35,5.01,3050,914,381965.67
Adani Total Gas  Add to Watchlist  Add to Portfolio,3390.9,-2.09,3533.45,1042.25,372934.6
Kotak Mahindra  Add to Watchlist  Add to Portfolio,1877,-1.44,2253,1631,372704.93
Adani Enterpris  Add to Watchlist  Add to Portfolio,3130.2,-0.74,3258.9,1361.55,369423.75
Asian Paints  Add to Watchlist  Add to Portfolio,3482.55,-1.49,3590,2560,334045.43
Avenue Supermar  Add to Watchlist  Add to Portfolio,4382,-1.77,5900,3186,283854.87
Larsen  Add to Watchlist  Add to Portfolio,1936.05,2.19,2078.55,1456.35,272052.04
Maruti Suzuki  Add to Watchlist  Add to Portfolio,8778.95,-1.89,9196.85,6536.55,265194.57
HCL Tech  Add to Watchlist  Add to Portfolio,970.05,-0.35,1377.75,877.35,263239.08
Bajaj Finserv  Add to Watchlist  Add to Portfolio,16287.6,-3.08,19325,10727.2,259430.4
Wipro  Add to Watchlist  Add to Portfolio,432.45,-0.6,739.85,391,237178.64
Axis Bank  Add to Watchlist  Add to Portfolio,757.5,-0.99,866.9,618.25,232672.79
Titan Company  Add to Watchlist  Add to Portfolio,2440.6,-1.54,2768,1797,216673.09
Sun Pharma  Add to Watchlist  Add to Portfolio,901.35,-1.68,967.05,733.7,216264.06
UltraTechCement  Add to Watchlist  Add to Portfolio,6647.55,-0.84,8269,5157.05,191895.56
Nestle  Add to Watchlist  Add to Portfolio,19440.9,-0.6,20609.15,16000,187440.83
Adani Ports  Add to Watchlist  Add to Portfolio,871.8,4.65,924.65,651.95,184156.7
ONGC  Add to Watchlist  Add to Portfolio,134.6,-0.7,194.95,108.5,169330.56
JSW Steel  Add to Watchlist  Add to Portfolio,664.55,-1.31,790,520.05,160636.38
Power Grid Corp  Add to Watchlist  Add to Portfolio,228.15,-1.38,248.35,170.2,159144.96
Adani Power  Add to Watchlist  Add to Portfolio,411.95,3.13,418.85,70.35,158886.6
Tata Motors  Add to Watchlist  Add to Portfolio,471,-2.85,536.7,268.45,156427.35
M&M  Add to Watchlist  Add to Portfolio,1239.4,-1.72,1298.7,671.15,154081.28
NTPC  Add to Watchlist  Add to Portfolio,157.75,-1.9,166.35,111.95,152964.91
Pidilite Ind  Add to Watchlist  Add to Portfolio,2720.8,-0.09,2764.7,1988.55,138297.98
Tata Steel  Add to Watchlist  Add to Portfolio,110.05,-2.22,147.6,82.7,134410.71
